Domain Name,Record Name,Record Type,Record Value
myyouthspan.com,_f82d6df2d2fd430d1c6bf9da64205f9e.myyouthspan.com.,CNAME,_60652a828c610bd6cbefcd61218502b1.mhbtsbpdnt.acm-validations.aws.
*.myyouthspan.com,_f82d6df2d2fd430d1c6bf9da64205f9e.myyouthspan.com.,CNAME,_60652a828c610bd6cbefcd61218502b1.mhbtsbpdnt.acm-validations.aws.
